,(Intercept),Samsung,Sony,Camera.AF8.med,Camera.AF8.high,Proc.AF8.med,Proc.AF8.high,Screen.AF8.mid,Screen.AF8.high,Memory.AF8.med,Memory.AF8.high,Price.AF8.med,Price.AF8.high,Price.AF8.veryhigh
1,-0.6428571429,0.2619047619,0.0714285714,0.8571428571,1.5476190476,1.3571428571,0.119047619,1.2857142857,1.4523809524,0.3571428571,3.0238095238,-0.7857142857,-2.4523809524,-0.9285714286
2,-1.2857142857,-1.8095238095,1.1428571429,-0.2857142857,3.7619047619,1.7142857143,0.9047619048,0.5714285714,0.2380952381,1.7142857143,3.380952381,-0.5714285714,-1.2380952381,0.1428571429
3,1.6428571429,-0.9285714286,-0.0714285714,0.1428571429,-0.2142857143,0.6428571429,0.2142857143,0.7142857143,0.2142857143,1.6428571429,1.6428571429,-1.2142857143,-2.2142857143,-2.0714285714
4,3.3571428571,0.5952380952,0.0714285714,-0.1428571429,0.880952381,1.3571428571,0.4523809524,0.2857142857,0.119047619,1.3571428571,1.6904761905,-1.7857142857,-3.119047619,-1.9285714286
5,5.2857142857,-3.5238095238,-2.1428571429,-0.7142857143,2.9047619048,2.2857142857,1.7619047619,-0.5714285714,-0.9047619048,0.2857142857,1.9523809524,-2.4285714286,-2.0952380952,-2.1428571429
6,1.6428571429,-3.2619047619,-1.0714285714,-1.8571428571,0.4523809524,2.6428571429,1.880952381,0.7142857143,1.5476190476,2.6428571429,2.9761904762,-0.2142857143,-1.5476190476,-0.0714285714
7,3.1785714286,-1.369047619,-1.9642857143,0.4285714286,0.7738095238,1.1785714286,1.0595238095,0.1428571429,0.7261904762,0.6785714286,1.5119047619,-1.3928571429,-2.2261904762,-2.4642857143
8,3.1785714286,-2.369047619,-3.9642857143,-0.5714285714,3.7738095238,2.1785714286,1.0595238095,0.1428571429,0.7261904762,1.6785714286,3.5119047619,-3.3928571429,-1.2261904762,-2.4642857143
9,2.0714285714,-1.2142857143,-2.7857142857,-0.4285714286,1.6428571429,1.0714285714,2.3571428571,0.8571428571,0.3571428571,2.0714285714,2.0714285714,-2.3571428571,-1.3571428571,0.2142857143
10,2.1071428571,-1.4880952381,-1.1785714286,0.8571428571,2.7976190476,0.1071428571,0.369047619,2.2857142857,2.7023809524,0.6071428571,-1.2261904762,-2.0357142857,-1.2023809524,-1.6785714286
11,2.2857142857,-2.8571428571,-1.1428571429,-1.7142857143,2.5714285714,3.2857142857,3.4285714286,-0.5714285714,-1.5714285714,3.2857142857,5.2857142857,-3.4285714286,-0.4285714286,-2.1428571429
12,3,-0.6666666667,-2,1,1.3333333333,1,1.3333333333,1,1.6666666667,1,0.6666666667,-2,-2.6666666667,-3
13,1.0714285714,-3.880952381,-3.7857142857,-1.4285714286,2.9761904762,3.0714285714,1.6904761905,1.8571428571,2.0238095238,2.0714285714,4.7380952381,-3.3571428571,-2.0238095238,-2.7857142857
14,1.3571428571,-0.7380952381,0.0714285714,-0.1428571429,-0.4523809524,1.3571428571,0.119047619,1.2857142857,1.4523809524,1.3571428571,2.0238095238,0.2142857143,-3.4523809524,-1.9285714286
15,4.5357142857,-3.1071428571,-1.8928571429,-1.7142857143,3.3214285714,0.5357142857,1.1785714286,-0.5714285714,-0.8214285714,1.0357142857,3.5357142857,-2.1785714286,0.3214285714,-0.3928571429
16,4.6428571429,-2.2619047619,-2.0714285714,-0.8571428571,3.4523809524,1.6428571429,1.880952381,-0.2857142857,-0.4523809524,0.6428571429,0.9761904762,-4.2142857143,-1.5476190476,-3.0714285714
17,1.8928571429,-2.5119047619,-2.8214285714,0.1428571429,3.2023809524,1.8928571429,1.630952381,0.7142857143,1.2976190476,2.3928571429,3.2261904762,-3.9642857143,-2.7976190476,-3.3214285714
18,3,-2,-2,-9.80330973979383E-016,2,1,1,6.6134552401269E-017,1,1,1,-2,-2,-2
19,2.3571428571,-1.4047619048,-1.9285714286,-0.1428571429,2.880952381,1.3571428571,1.4523809524,1.2857142857,1.119047619,1.3571428571,1.6904761905,-2.7857142857,-2.119047619,-2.9285714286
20,4.5,-0.5,-0.5,-5.66753844331831E-016,0.5,1.5,2.5,-1,-1.5,1.5,1.5,-3.5,-2.5,-3.5
21,2.25,-3.9166666667,-2.75,-6.12706858737114E-016,2.0833333333,0.25,1.0833333333,1,0.4166666667,0.75,0.9166666667,-1.75,0.0833333333,0.75
22,2.75,-0.4166666667,0.75,-1,0.5833333333,0.75,-0.4166666667,-1.98403657203807E-015,-1.0833333333,1.25,3.4166666667,-1.25,-2.4166666667,-1.75
23,0.8928571429,-1.1785714286,-0.8214285714,0.1428571429,0.5357142857,1.8928571429,2.9642857143,1.7142857143,1.9642857143,1.3928571429,-0.1071428571,-0.9642857143,-1.4642857143,-1.3214285714
,,,,,,,,,,,,,,
,2.3944099379,-1.7629399586,-1.4254658385,-0.3229813665,1.8830227743,1.4813664596,1.3053830228,0.5590062112,0.5517598344,1.3944099379,2.1480331263,-2.0590062112,-1.8126293996,-1.7732919255
